;   
;  IMD Data
       5.1522522    1.2654934e-14
       5.2004694    1.5049188e-14
       5.2491379    1.7877281e-14
       5.2982619    2.1151681e-14
       5.3478456    2.5051813e-14
       5.3978934    2.9527773e-14
       5.4484095    3.4737688e-14
       5.4993983    4.0826430e-14
       5.5508644    4.7765753e-14
       5.6028120    5.5924519e-14
       5.6552459    6.5106242e-14
       5.7081704    7.5912147e-14
       5.7615902    8.8226977e-14
       5.8155100    1.0202036e-13
       5.8699343    1.1807031e-13
       5.9248680    1.3576551e-13
       5.9803158    1.5648385e-13
       6.0362825    1.7962118e-13
       6.0927730    2.0575209e-13
       6.1497921    2.3473651e-13
       6.2073448    2.6522517e-13
       6.2654362    3.0065253e-13
       6.3240712    3.3907306e-13
       6.3832549    3.8336050e-13
       6.4429925    4.3395971e-13
       6.5032891    4.9587399e-13
       6.5641501    5.8000421e-13
       6.6255806    7.5219076e-13
       6.6875860    2.6878471e-12
       6.7501716    1.5214611e-11
       6.8133430    8.0960500e-12
       6.8771056    8.1650040e-12
       6.9414649    9.2443132e-12
       7.0064265    1.0601287e-11
       7.0719960    1.2245026e-11
       7.1381792    1.4222406e-11
       7.2049817    1.6556869e-11
       7.2724094    1.9356044e-11
       7.3404681    2.2713837e-11
       7.4091638    2.6757275e-11
       7.4785024    3.1851485e-11
       7.5484898    3.8020990e-11
       7.6191322    4.6364749e-11
       7.6904358    5.7443729e-11
       7.7624066    7.3193307e-11
       7.8350510    1.0621826e-10
       7.9083752    1.6012621e-10
       7.9823856    3.7553293e-10
       8.0570886    1.1082555e-10
       8.1324907    9.2387923e-11
       8.2085985    8.0287326e-11
       8.2854186    7.4289792e-11
       8.3629575    7.1078208e-11
       8.4412222    6.8690642e-11
       8.5202192    6.8021918e-11
       8.5999555    6.7600564e-11
       8.6804381    6.7873904e-11
       8.7616739    6.8557792e-11
       8.8436698    6.9523544e-11
       8.9264332    7.0950393e-11
       9.0099711    7.2527772e-11
       9.0942908    7.4453295e-11
       9.1793995    7.6571227e-11
       9.2653048    7.8912381e-11
       9.3520140    8.1550326e-11
       9.4395347    8.4294743e-11
       9.5278745    8.7354523e-11
       9.6170409    9.0572531e-11
       9.7070419    9.4000969e-11
       9.7978851    9.7668553e-11
       9.8895784    1.0147532e-10
       9.9821299    1.0560722e-10
       10.075547    1.0992401e-10
       10.169839    1.1447083e-10
       10.265014    1.1926017e-10
       10.361079    1.2426877e-10
       10.458043    1.2961790e-10
       10.555914    1.3515360e-10
       10.654701    1.4102569e-10
       10.754413    1.4721064e-10
       10.855058    1.5359369e-10
       10.956645    1.6031807e-10
       11.059183    1.6733170e-10
       11.162680    1.7481558e-10
       11.267146    1.8260131e-10
       11.372589    1.9079402e-10
       11.479019    1.9939516e-10
       11.586446    2.0831810e-10
       11.694877    2.1771613e-10
       11.804323    2.2740269e-10
       11.914794    2.3758942e-10
       12.026298    2.4817510e-10
       12.138846    2.5912407e-10
       12.252448    2.7056283e-10
       12.367112    2.8248956e-10
       12.482849    2.9542195e-10
       12.599670    3.0897104e-10
       12.717584    3.2313434e-10
       12.836601    3.3724305e-10
       12.956732    3.5160120e-10
       13.077988    3.6610693e-10
       13.200378    3.8092051e-10
       13.323913    3.9612045e-10
       13.448605    4.1196472e-10
       13.574464    4.2826931e-10
       13.701500    4.4469583e-10
       13.829725    4.6228239e-10
       13.959150    4.8176122e-10
       14.089787    4.9967799e-10
       14.221646    5.1899783e-10
       14.354739    5.3797408e-10
       14.489078    5.5871440e-10
       14.624674    5.8120108e-10
       14.761538    6.0476575e-10
       14.899684    6.2908633e-10
       15.039122    6.5700930e-10
       15.179866    6.8662380e-10
       15.321926    7.1516013e-10
       15.465316    7.5017077e-10
       15.610048    7.8199189e-10
       15.756135    8.1407209e-10
       15.903588    8.4093345e-10
       16.052422    8.7124032e-10
       16.202648    8.9901017e-10
       16.354280    9.4644369e-10
       16.507332    9.6729458e-10
       16.661815    1.0148426e-09
       16.817745    1.0616237e-09
       16.975133    1.1032897e-09
       17.133995    1.1370956e-09
       17.294343    1.2143567e-09
       17.456192    1.2285333e-09
       17.619555    1.2855352e-09
       17.784448    1.3367984e-09
       17.950883    1.3068739e-09
       18.118876    1.4935667e-09
       18.288441    1.5051184e-09
       18.459593    1.5893094e-09
       18.632347    1.7528204e-09
       18.806718    1.8776894e-09
       18.982720    1.8683053e-09
       19.160370    2.0218276e-09
       19.339682    1.9524354e-09
       19.520672    2.0617741e-09
       19.703356    2.4061220e-09
       19.887749    2.7310307e-09
       20.073869    3.2209486e-09
       20.261730    2.6670622e-09
       20.451349    2.7068362e-09
       20.642742    3.5802528e-09
       20.835927    3.4233711e-09
       21.030920    4.2658889e-09
       21.227737    5.3382514e-09
       21.426397    6.3143013e-09
       21.626915    2.7855916e-09
       21.829311    3.3523314e-09
       22.033600    1.8116113e-09
       22.239801    8.0540594e-09
       22.447932    9.0833993e-09
       22.658010    2.2245903e-08
       22.870055    3.0607579e-08
       23.084084    1.4433114e-08
       23.300116    7.1847767e-09
       23.518170    4.8085527e-09
       23.738264    2.1255796e-09
       23.960419    2.7854019e-09
       24.184652    6.7888994e-09
       24.410983    2.6329291e-10
       24.639433    1.1097526e-08
       24.870021    8.8431438e-09
       25.102767    1.8888760e-08
       25.337691    1.5349588e-09
       25.574813    5.2501155e-09
       25.814155    3.0329631e-09
       26.055736    1.2186693e-08
       26.299578    3.5996629e-10
       26.545702    3.2975653e-08
       26.794130    4.1030852e-09
       27.044882    1.2498347e-08
       27.297981    1.4033850e-08
       27.553449    7.9851210e-08
       27.811308    8.2274589e-08
       28.071579    5.2817199e-08
       28.334287    9.1043135e-08
       28.599453    4.3544995e-08
       28.867100    8.0621343e-08
       29.137253    6.9191739e-08
       29.409933    1.7220521e-08
       29.685166    4.6759528e-08
       29.962974    4.5402717e-08
       30.243382    1.6639468e-07
       30.526414    3.8946289e-08
       30.812095    1.8941797e-08
       31.100450    1.6241584e-07
       31.391503    2.4223951e-07
       31.685280    2.8494611e-07
       31.981806    3.4904460e-07
       32.281107    1.7533174e-07
       32.583209    2.1807902e-07
       32.888139    1.8853149e-06
       33.195922    2.0854400e-06
       33.506585    9.0980807e-07
       33.820156    1.2266402e-07
       34.136662    4.5016910e-07
       34.456129    2.2788299e-07
       34.778586    6.1847981e-07
       35.104061    1.6860256e-07
       35.432582    3.2744529e-07
       35.764177    1.3535671e-06
       36.098876    7.7238306e-08
       36.436707    1.5924286e-06
       36.777699    1.3724200e-06
       37.121883    8.2781814e-07
       37.469287    2.1180773e-06
       37.819943    3.4797927e-06
       38.173880    2.7678182e-06
       38.531130    2.2165355e-06
       38.891723    2.9017936e-06
       39.255690    3.6033699e-06
       39.623064    2.1002385e-06
       39.993876    3.9177463e-06
       40.368158    2.0144941e-06
       40.745943    6.0664027e-08
       41.127263    9.7254616e-07
       41.512152    1.6505024e-07
       41.900643    1.8264204e-06
       42.292770    1.0522553e-06
       42.688566    3.0104224e-07
       43.088066    1.6222569e-06
       43.491305    2.1781405e-06
       43.898318    1.0683875e-07
       44.309140    3.3065393e-06
       44.723806    2.5068222e-06
       45.142353    2.9520306e-06
       45.564817    1.4242519e-06
       45.991235    3.8803760e-06
       46.421643    1.0813843e-05
       46.856079    9.1572377e-06
       47.294581    6.8671029e-06
       47.737187    8.0982215e-06
       48.183934    4.2597849e-05
       48.634863    1.9771229e-05
       49.090012    1.4947031e-05
       49.549420    1.4385682e-05
       50.013127    3.4394230e-05
       50.481174    1.7543140e-05
       50.953602    2.9091993e-06
       51.430450    3.9351608e-06
       51.911761    5.4728079e-06
       52.397577    7.6519314e-06
       52.887939    3.7205450e-06
       53.382890    2.7849639e-06
       53.882473    2.6797579e-06
       54.386731    8.7308133e-06
       54.895708    6.1615747e-06
       55.409449    1.5730605e-06
       55.927997    3.1647671e-06
       56.451399    7.0236866e-06
       56.979698    1.2234022e-05
       57.512942    1.2726215e-06
       58.051176    4.4280139e-07
       58.594447    9.2985248e-06
       59.142802    1.9182583e-05
       59.696289    6.4539529e-06
       60.254956    5.2140020e-06
       60.818851    1.1904994e-05
       61.388023    2.0782977e-05
       61.962522    4.8979954e-05
       62.542398    9.0603498e-05
       63.127700    0.00013083541
       63.718479    0.00014453614
       64.314788    0.00018111066
       64.916677    0.00047889497
       65.524199    0.00082637053
       66.137406    0.00088483758
       66.756352    3.6371945e-05
       67.381090    1.9492682e-05
       68.011675    8.4725663e-06
       68.648161    8.3527562e-07
       69.290604    2.6158031e-06
       69.939059    1.3839318e-05
       70.593583    1.4360591e-05
       71.254232    5.9965181e-06
       71.921063    5.3489577e-06
       72.594135    5.7848709e-06
       73.273506    3.1364027e-06
       73.959235    2.3565917e-06
       74.651382    3.0325837e-06
       75.350006    3.8248173e-06
       76.055168    1.2545014e-05
       76.766929    1.3813340e-05
       77.485351    4.0382655e-06
       78.210496    2.0889553e-06
       78.942428    1.2439394e-06
       79.681210    7.2774040e-06
       80.426905    2.3960361e-05
       81.179579    1.7660900e-05
       81.939297    5.6430050e-08
       82.706124    2.0562252e-05
       83.480128    4.8695737e-05
       84.261376    5.0945434e-05
       85.049935    7.4084865e-05
       85.845873    8.9903227e-05
       86.649261    4.5574617e-05
       87.460166    6.5289452e-05
       88.278661    0.00022851655
       89.104816    0.00036330146
       89.938702    0.00041059998
       90.780392    0.00051211280
       91.629958    0.00061189514
       92.487476    0.00064203667
       93.353019    0.00096191856
       94.226662     0.0018219538
       95.108480     0.0026655851
       95.998552     0.0027486222
       96.896953     0.0022167902
       97.803761     0.0018574912
       98.719056     0.0018529407
       99.642917     0.0018140867
       100.57542     0.0015743496
       101.51666     0.0013726156
       102.46670     0.0012590020
       103.42563     0.0010543080
       104.39354    0.00081302684
       105.37051    0.00083851156
       106.35661     0.0010599683
       107.35195     0.0010770822
       108.35660    0.00079257481
       109.37066    0.00053796829
       110.39420    0.00054032102
       111.42732    0.00063180112
       112.47011    0.00064469621
       113.52266    0.00067508884
       114.58506    0.00082553637
       115.65740    0.00093152442
       116.73978    0.00080193987
       117.83229    0.00052504338
       118.93502    0.00036733350
       120.04807    0.00049391260
       121.17154    0.00079925777
       122.30552     0.0010370305
       123.45012    0.00099361512
       124.60542    0.00072458787
       125.77154    0.00054524015
       126.94857    0.00061861743
       128.13662    0.00082539637
       129.33578    0.00092238026
       130.54617    0.00093704051
       131.76789     0.0011572385
       133.00103     0.0015636576
       134.24572     0.0017112875
       135.50206     0.0013056341
       136.77015    0.00074137462
       138.05011    0.00068845012
       139.34205     0.0014308066
       140.64608     0.0027108784
       141.96232     0.0041468455
       143.29087     0.0053924215
       144.63186     0.0057629958
       145.98539     0.0045141769
       147.35159     0.0019780086
       148.73058    0.00046654440
       150.12247     0.0024754673
       151.52739     0.0073925101
       152.94546      0.011552522
       154.37680      0.012896536
       155.82153      0.014078104
       157.27978      0.019585181
       158.75168      0.027985403
       160.23736      0.030990128
       161.73694      0.022418302
       163.25055     0.0081116591
       164.77833     0.0034072014
       166.32040      0.020459615
       167.87691      0.057169727
       169.44798       0.10359064
       171.03376       0.24565007
       172.63438       0.32537034
       174.24997       0.35626574
       175.88069       0.34384136
       177.52667       0.33081807
       179.18805       0.33139302
       180.86498       0.33459958
       182.55760       0.33238826
       184.26606       0.33103786
       185.99051       0.34108911
       187.73110       0.35925534
       189.48798       0.37720678
       191.26130       0.39365947
       193.05122       0.38639163
       194.85788       0.35416948
       196.68146       0.30804499
       198.52210       0.22741234
       200.37996       0.13862918
       202.25522      0.062072727
       204.14802      0.024043511
       206.05853      0.015219976
       207.98693      0.026678495
       209.93337      0.037217439
       211.89803      0.040434526
       213.88108      0.038033425
       215.88268      0.033982312
       217.90301      0.030214114
       219.94225      0.027240362
       222.00058      0.024594874
       224.07817      0.021835433
       226.17520      0.018878841
       228.29186      0.015976752
       230.42833      0.013595414
       232.58479      0.011970783
       234.76143      0.011061842
       236.95844      0.010694085
       239.17601      0.010408705
       241.41434      0.010288457
       243.67361      0.010211626
       245.95402      0.010093011
       248.25578     0.0098800846
       250.57908     0.0095522658
       252.92412     0.0091144788
       255.29111     0.0086155725
       257.68024     0.0080733318
       260.09174     0.0075280894
       262.52580     0.0070097993
       264.98265     0.0065449494
       267.46248     0.0061305280
       269.96553     0.0057794947
       272.49200     0.0054437240
       275.04211     0.0051767968
       277.61609     0.0049718902
       280.21415     0.0048082856
       282.83653     0.0046751187
       285.48345     0.0044626796
       288.15515     0.0041950963
       290.85184     0.0037446481
       293.57377     0.0033481641
       296.32118     0.0029925385
       299.09430     0.0025855618
       301.89337     0.0021912243
       304.71863     0.0018471036
       307.57034     0.0014634452
       310.44873     0.0010432686
       313.35406    0.00079040284
       316.28658    0.00075367553
       319.24654     0.0010207892
       322.23420     0.0012072021
       325.24983     0.0010924989
       328.29367    0.00073505124
       331.36600    0.00032358687
       334.46709    0.00013615816
       337.59719    0.00040020750
       340.75659     0.0012419112
       343.94556     0.0025160271
       347.16437     0.0038582783
       350.41330     0.0048960392
       353.69264     0.0054145340
       357.00266     0.0053754237
       360.34367     0.0048815718
       363.71594     0.0041422185
       367.11977     0.0034141548
       370.55545     0.0029279083
       374.02329     0.0028017961
       377.52358     0.0029899100
       381.05663     0.0033340530
       384.62274     0.0036449147
       388.22223     0.0038073068
       391.85540     0.0038795349
       395.52257     0.0041303605
       399.22407     0.0048867177
       402.96020     0.0064392121
       406.73130     0.0090078051
       410.53768      0.012373869
       414.37969      0.015892088
       418.25766      0.018823136
       422.17192      0.020722563
       426.12281      0.021339767
       430.11067      0.020051296
       434.13586      0.018359562
       438.19871      0.016695634
       442.29959      0.015451573
       446.43884      0.014922007
       450.61683      0.015243268
       454.83392      0.016388233
       459.09048      0.018270129
       463.38687      0.020819334
       467.72347      0.023886691
       472.10065      0.027320192
       476.51880      0.031005100
       480.97829      0.034856870
       485.47952      0.038719858
       490.02287      0.042675363
       494.60874      0.046558491
       499.23753      0.050676178
       503.90964      0.054909663
       508.62547      0.058935991
       513.38543      0.062634362
       518.18994      0.066225278
       523.03942      0.069686080
       527.93427      0.073405116
       532.87494      0.077855010
       537.86184      0.082859644
       542.89541      0.088506935
       547.97609      0.094909873
       553.10432       0.10199171
       558.28053       0.10989594
       563.50519       0.11858275
       568.77875       0.12716886
       574.10166       0.13754710
       579.47438       0.14890685
       584.89738       0.16090432
       590.37113       0.17310147
       595.89611       0.18583523
       601.47280       0.19848049
       607.10167       0.21103452
       612.78322       0.22321016
       618.51795       0.23490165
       624.30634       0.24620072
       630.14890       0.25635492
       636.04614       0.26568840
       641.99857       0.27271868
       648.00670       0.22700409
       654.07106       0.15923339
       660.19217       0.16212178
       666.37057       0.16417853
       672.60679       0.16362598
       678.90137       0.16140354
       685.25486       0.15907544
       691.66781       0.15671511
       698.14077       0.15420970
       704.67431       0.15181874
       711.26899       0.14799907
       717.92539       0.14398429
       724.64409       0.14018615
       731.42566       0.13672850
       738.27069       0.13353260
       745.17979       0.13029104
       752.15354       0.12700259
       759.19256       0.12449386
       766.29745       0.12263895
       773.46884       0.12078167
       780.70733       0.11919206
       788.01357       0.11857989
       795.38818       0.11894772
       802.83181       0.11831415
       810.34510       0.11844825
       817.92870       0.11814324
       825.58328       0.11743653
       833.30948       0.12057548
       841.10800       0.12543851
       848.97950       0.13132060
       856.92466       0.13607598
       864.94417       0.13963829
       873.03874       0.14292156
       881.20906       0.14498508
       889.45584       0.14798573
       897.77980       0.15205583
       906.18166       0.15294446
       914.66215       0.15414112
       923.22200       0.15589654
       931.86196       0.15707070
       940.58277       0.15817205
       949.38520       0.15886577
       958.27001       0.15895027
       967.23797       0.15845661
       976.28985       0.15858670
       985.42644       0.15889726
       994.64854       0.15922645
       1003.9569       0.15937963
       1013.3525       0.15948664
       1022.8359       0.15998617
       1032.4081       0.16073634
       1042.0699       0.16233949
       1051.8221       0.16430461
       1061.6655       0.16721972
       1071.6011       0.17142320
       1081.6297       0.17852746
       1091.7521       0.18709166
       1101.9692       0.19760722
       1112.2820       0.20953544
       1122.6913       0.22279964
       1133.1980       0.23709653
       1143.8030       0.25212363
       1154.5072       0.26731428
       1165.3117       0.28274937
       1176.2172       0.29698870
       1187.2248       0.30989776
       1198.3355       0.32232985
       1209.5501       0.33461252
       1220.8696       0.34652364
       1232.2951       0.35796594
       1243.8275       0.36916008
       1255.4679       0.37978515
       1267.2171       0.39035144
       1279.0764       0.40026638
       1291.0466       0.41028379
       1303.1288       0.41941607
       1315.3241       0.42813387
       1327.6336       0.43580022
       1340.0582       0.44333499
       1352.5991       0.45182672
       1365.2574       0.46095603
       1378.0342       0.47007857
       1390.9305       0.47758008
       1403.9475       0.48515268
       1417.0863       0.49267887
       1430.3481       0.50029875
       1443.7340       0.50774833
       1457.2451       0.51433035
       1470.8827       0.52004153
       1484.6480       0.52539684
       1498.5420       0.53059586
       1512.5661       0.53604380
       1526.7214       0.54151089
       1541.0092       0.54695623
       1555.4307       0.55205501
       1569.9872       0.55661012
       1584.6799       0.56076825
       1599.5101       0.56478107
       1614.4791       0.56809584
       1629.5882       0.57112403
       1644.8387       0.57044908
       1660.2319       0.56983590
       1675.7691       0.56987314
       1691.4518       0.57244073
       1707.2812       0.57632203
       1723.2588       0.58090002
       1739.3859       0.58563256
       1755.6639       0.59120832
       1772.0942       0.59716848
       1788.6784       0.60273784
       1805.4177       0.60823299
       1822.3136       0.61365538
       1839.3677       0.61991419
       1856.5814       0.62583288
       1873.9562       0.63087245
       1891.4936       0.63562923
       1909.1951       0.64023853
       1927.0623       0.64453358
       1945.0967       0.64880954
       1963.2998       0.65306927
       1981.6734       0.65674184
       2000.2188       0.65994839
       2018.9378       0.66342052
       2037.8320       0.66712385
       2056.9031       0.67145904
       2076.1525       0.67546585
       2095.5822       0.67916063
       2115.1937       0.68286524
       2134.9887       0.68654853
       2154.9689       0.68989484
       2175.1362       0.69309102
       2195.4922       0.69602605
       2216.0386       0.69888079
       2236.7774       0.70124894
       2257.7102       0.70341220
       2278.8390       0.70464501
       2300.1655       0.70575639
       2321.6915       0.70633071
       2343.4191       0.70668594
       2365.3499       0.70596802
       2387.4860       0.70496723
       2409.8292       0.70303554
       2432.3816       0.70113134
       2455.1450       0.69785746
       2478.1214       0.69474173
       2501.3129       0.69073394
       2524.7214       0.68683219
       2548.3490       0.68332629
       2572.1977       0.68002314
       2596.2695       0.67656876
       2620.5667       0.67301419
       2645.0912       0.66938032
       2669.8453       0.66538907
       2694.8310       0.66152352
       2720.0505       0.65847535
       2745.5060       0.65553455
       2771.1998       0.65177661
       2797.1341       0.64758300
       2823.3110       0.64326793
       2849.7329       0.63818693
       2876.4021       0.63321686
       2903.3209       0.62801204
       2930.4915       0.62266205
       2957.9165       0.61760463
       2985.5981       0.61379313
       3013.5388       0.61012914
       3041.7409       0.60687910
       3070.2070       0.60383895
       3098.9395       0.60086759
       3127.9409       0.60131042
       3157.2137       0.60190548
       3186.7604       0.60301415
       3216.5837       0.60541375
       3246.6860       0.60791106
       3277.0701       0.61081838
       3307.7385       0.61413244
       3338.6939       0.61749308
       3369.9390       0.62068890
       3401.4766       0.62378491
       3433.3092       0.62691069
       3465.4398       0.63022968
       3497.8711       0.63366009
       3530.6058       0.63761085
       3563.6470       0.64155492
       3596.9973       0.64547680
       3630.6597       0.64941248
       3664.6372       0.65328139
       3698.9327       0.65708519
       3733.5491       0.66088961
       3768.4894       0.66490634
       3803.7568       0.66934805
       3839.3542       0.67377388
       3875.2847       0.67818931
       3911.5515       0.68280679
       3948.1577       0.68738371
       3985.1065       0.69191798
       4022.4010       0.69606998
       4060.0446       0.69996319
       4098.0405       0.70379143
       4136.3919       0.70760434
       4175.1023       0.71159100
       4214.1749       0.71553075
       4253.6132       0.71942825
       4293.4206       0.72301636
       4333.6005       0.72626418
       4374.1564       0.72947257
       4415.0919       0.73264563
       4456.4105       0.73567369
       4498.1157       0.73861074
       4540.2113       0.74136889
       4582.7008       0.74409440
       4625.5879       0.74646902
       4668.8764       0.74873195
       4712.5700       0.75096946
       4756.6725       0.75318226
       4801.1878       0.75485665
       4846.1196       0.75634076
       4891.4720       0.75782518
       4937.2487       0.75930163
       4983.4539       0.76020916
       5030.0915       0.76045219
       5077.1655       0.76070086
       5124.6801       0.76109815
       5172.6393       0.76153180
       5221.0474       0.76208706
       5269.9085       0.76268306
       5319.2268       0.76293472
       5369.0067       0.76317528
       5419.2525       0.76502603
       5469.9685       0.76805568
       5521.1591       0.77084501
       5572.8288       0.77357071
       5624.9820       0.77628581
       5677.6234       0.77936075
       5730.7573       0.78247142
       5784.3885       0.78543471
       5838.5216       0.78815994
       5893.1613       0.79083147
       5948.3124       0.79302368
       6003.9796       0.79508325
       6060.1677       0.79712100
       6116.8817       0.79906238
       6174.1265       0.80097083
       6231.9069       0.80250659
       6290.2281       0.80376930
       6349.0952       0.80502326
       6408.5131       0.80610834
       6468.4870       0.80715868
       6529.0223       0.80814869
       6590.1240       0.80920590
       6651.7976       0.81025267
       6714.0484       0.81123442
       6776.8817       0.81198348
       6840.3030       0.81273240
       6904.3179       0.81338111
       6968.9318       0.81374795
       7034.1505       0.81402585
       7099.9795       0.81410541
       7166.4245       0.81379014
       7233.4914       0.81349636
       7301.1859       0.81304985
       7369.5140       0.81135361
       7438.4814       0.80968250
       7508.0944       0.80808233
       7578.3587       0.80631760
       7649.2807       0.80450058
       7720.8664       0.80268344
       7793.1220       0.80064626
       7866.0538       0.79843338
       7939.6682       0.79617791
       8013.9714       0.79425183
       8088.9700       0.79372263
       8164.6705       0.79317951
       8241.0795       0.79261999
       8318.2035       0.79375622
       8396.0493       0.79495236
       8474.6236       0.79619291
       8553.9332       0.79795923
       8633.9851       0.80107312
